timestamp,model_name,component,time_ms
20250209_204011,resnet18,conv1,21.38795517385006
20250209_204011,resnet18,bn1,0.433153472840786
20250209_204011,resnet18,relu,0.02275872975587845
20250209_204011,resnet18,maxpool,0.025692395865917206
20250209_204011,resnet18,layer1,1.699855551123619
20250209_204011,resnet18,layer2,4.1584959253668785
20250209_204011,resnet18,layer3,14.049281366169453
20250209_204011,resnet18,layer4,53.205317817628384
20250209_204011,resnet18,avgpool,0.021158717572689056
20250209_204011,resnet18,fc,3.2825786620378494
20250209_204011,resnet18,weight_init,65.73273986577988
20250209_204012,resnet34,conv1,0.22077932953834534
20250209_204012,resnet34,bn1,0.13456866145133972
20250209_204012,resnet34,relu,0.014227814972400665
20250209_204012,resnet34,maxpool,0.022069551050662994
20250209_204012,resnet34,layer1,2.101306803524494
20250209_204012,resnet34,layer2,7.105362601578236
20250209_204012,resnet34,layer3,37.371765822172165
20250209_204012,resnet34,layer4,79.59374506026506
20250209_204012,resnet34,avgpool,0.015866011381149292
20250209_204012,resnet34,fc,3.281567245721817
20250209_204012,resnet34,weight_init,125.3574900329113
20250209_204012,resnet50,conv1,0.25884248316287994
20250209_204012,resnet50,bn1,0.14080945402383804
20250209_204012,resnet50,relu,0.015892088413238525
20250209_204012,resnet50,maxpool,0.021428801119327545
20250209_204012,resnet50,layer1,2.675570547580719
20250209_204012,resnet50,layer2,8.860583417117596
20250209_204012,resnet50,layer3,37.984028458595276
20250209_204012,resnet50,layer4,73.91787972301245
20250209_204012,resnet50,avgpool,0.013472512364387512
20250209_204012,resnet50,fc,12.132696807384491
20250209_204012,resnet50,weight_init,139.59590066224337
20250209_204013,resnet101,conv1,0.2721678465604782
20250209_204013,resnet101,bn1,0.1502353698015213
20250209_204013,resnet101,relu,0.015937723219394684
20250209_204013,resnet101,maxpool,0.02177618443965912
20250209_204013,resnet101,layer1,2.6669539511203766
20250209_204013,resnet101,layer2,8.26957169920206
20250209_204013,resnet101,layer3,143.79805326461792
20250209_204013,resnet101,layer4,91.01224038749933
20250209_204013,resnet101,avgpool,0.015482306480407715
20250209_204013,resnet101,fc,12.852729298174381
20250209_204013,resnet101,weight_init,277.65264827758074
20250209_204015,resnet152,conv1,0.2750745043158531
20250209_204015,resnet152,bn1,0.174669548869133
20250209_204015,resnet152,relu,0.016549602150917053
20250209_204015,resnet152,maxpool,0.02274196594953537
20250209_204015,resnet152,layer1,2.9144417494535446
20250209_204015,resnet152,layer2,16.645334661006927
20250209_204015,resnet152,layer3,269.72163654863834
20250209_204015,resnet152,layer4,95.5220852047205
20250209_204015,resnet152,avgpool,0.019373372197151184
20250209_204015,resnet152,fc,12.90332805365324
20250209_204015,resnet152,weight_init,360.65738927572966
20250209_204017,wide_resnet50_2,conv1,0.2557951956987381
20250209_204017,wide_resnet50_2,bn1,0.15447475016117096
20250209_204017,wide_resnet50_2,relu,0.015601515769958496
20250209_204017,wide_resnet50_2,maxpool,0.020878389477729797
20250209_204017,wide_resnet50_2,layer1,5.072292871773243
20250209_204017,wide_resnet50_2,layer2,19.928022287786007
20250209_204017,wide_resnet50_2,layer3,104.87872827798128
20250209_204017,wide_resnet50_2,layer4,240.11877737939358
20250209_204017,wide_resnet50_2,avgpool,0.01629907637834549
20250209_204017,wide_resnet50_2,fc,12.852208688855171
20250209_204017,wide_resnet50_2,weight_init,394.12897918373346
20250209_204020,wide_resnet101_2,conv1,0.2619009464979172
20250209_204020,wide_resnet101_2,bn1,0.15585869550704956
20250209_204020,wide_resnet101_2,relu,0.01525040715932846
20250209_204020,wide_resnet101_2,maxpool,0.021480023860931396
20250209_204020,wide_resnet101_2,layer1,5.182452499866486
20250209_204020,wide_resnet101_2,layer2,20.63038107007742
20250209_204020,wide_resnet101_2,layer3,461.50195598602295
20250209_204020,wide_resnet101_2,layer4,246.1593560874462
20250209_204020,wide_resnet101_2,avgpool,0.016857869923114777
20250209_204020,wide_resnet101_2,fc,12.832493521273136
20250209_204020,wide_resnet101_2,weight_init,758.7483040988445
20250209_204024,vit_b_16,init_weights_MLPBlock,22.923520766198635
20250209_204024,vit_b_16,init_weights_MLPBlock,22.86817692220211
20250209_204024,vit_b_16,init_weights_MLPBlock,22.875677794218063
20250209_204024,vit_b_16,init_weights_MLPBlock,22.91994821280241
20250209_204024,vit_b_16,init_weights_MLPBlock,22.904375568032265
20250209_204024,vit_b_16,init_weights_MLPBlock,22.860408760607243
20250209_204024,vit_b_16,init_weights_MLPBlock,22.862053476274014
20250209_204024,vit_b_16,init_weights_MLPBlock,22.890384308993816
20250209_204024,vit_b_16,init_weights_MLPBlock,22.887791506946087
20250209_204024,vit_b_16,init_weights_MLPBlock,22.88871817290783
20250209_204024,vit_b_16,init_weights_MLPBlock,22.876689210534096
20250209_204024,vit_b_16,init_weights_MLPBlock,23.23746494948864
20250209_204024,vit_b_16,pos_embedding,0.9916061535477638
20250209_204024,vit_b_16,encoder_layer,805.2352136000991
20250209_204024,vit_b_16,final_layer_norm,0.07365737110376358
20250209_204024,vit_b_16,conv_proj,3.260986879467964
20250209_204024,vit_b_16,heads,3.8827862590551376
20250209_204024,vit_b_16,weight_init,4.515071399509907
20250209_204026,vit_b_32,init_weights_MLPBlock,23.059595376253128
20250209_204026,vit_b_32,init_weights_MLPBlock,23.301870562136173
20250209_204026,vit_b_32,init_weights_MLPBlock,23.111853748559952
20250209_204026,vit_b_32,init_weights_MLPBlock,23.0015991255641
20250209_204026,vit_b_32,init_weights_MLPBlock,22.90565613657236
