model_name,layer_name,submit_time_ts,end_time_ts,structure_start_ts,structure_end_ts,init_weight_start_ts,init_weight_end_ts,weight_start_ts,weight_end_ts,weight_preload_start_ts,weight_preload_end_ts,compute_start_ts,compute_end_ts,
resnet50,conv1,2388819.896078519,2388819.906400168,2388819.896321791,2388819.897057151,2388819.897057485,2388819.897057954,2388819.897143795,2388819.898987736,,,2388819.899035143,2388819.906140066,
resnet50,bn1,2388819.896100672,2388819.908508731,2388819.897204913,2388819.898528742,2388819.898529183,2388819.89852967,2388819.899232282,2388819.901125968,,,2388819.906166403,2388819.908142027,
resnet50,relu,2388819.896105511,2388819.909903301,2388819.898636554,2388819.898669673,2388819.898669873,2388819.898670182,2388819.901195322,2388819.90144583,,,2388819.908160273,2388819.909824417,
resnet50,maxpool,2388819.896113255,2388819.911247933,2388819.898903268,2388819.898940817,2388819.898941043,2388819.898941253,2388819.901459572,2388819.901865378,,,2388819.909838533,2388819.911226186,
resnet50,layer1,2388819.896116486,2388819.941786134,2388819.899145211,2388819.907316774,2388819.907317473,2388819.907318661,2388819.907450529,2388819.918161556,,,2388819.918188719,2388819.941730955,
resnet50,layer2,2388819.896119746,2388819.965080168,2388819.907506825,2388819.923557625,2388819.923558362,2388819.923559387,2388819.923661248,2388819.940519734,,,2388819.941751138,2388819.965043539,
resnet50,layer3,2388819.896122556,2388820.073536559,2388819.923713523,2388819.98918787,2388819.98918858,2388819.989189228,2388819.989338845,2388820.039661758,,,2388820.039709508,2388820.073477936,
resnet50,layer4,2388819.896129019,2388820.187413894,2388819.989425478,2388820.0937188,2388820.093719204,2388820.093719859,2388820.093890781,2388820.159261835,,,2388820.159315815,2388820.187300681,
resnet50,avgpool,2388819.896136335,2388820.188035646,2388820.09396223,2388820.093989239,2388820.093989546,2388820.093989777,2388820.15960055,2388820.160051381,,,2388820.187343708,2388820.187960352,
resnet50,fc,2388819.896139238,2388820.188805539,2388820.094130581,2388820.107305164,2388820.107305342,2388820.107305836,2388820.160073628,2388820.165171779,,,2388820.187985022,2388820.188765313,
resnet101,conv1,2388820.396783233,2388820.404229051,2388820.397065879,2388820.397624423,2388820.397625024,2388820.397625509,2388820.397757291,2388820.398872259,,,2388820.3988904,2388820.404132703,
resnet101,bn1,2388820.396793055,2388820.406384055,2388820.397839774,2388820.398224521,2388820.398224763,2388820.398225013,2388820.399079351,2388820.400618427,,,2388820.404153785,2388820.40629155,
resnet101,relu,2388820.396795936,2388820.407413291,2388820.3984754,2388820.398495678,2388820.398495885,2388820.398495988,2388820.400663293,2388820.40102706,,,2388820.406302564,2388820.407321208,
resnet101,maxpool,2388820.396798166,2388820.408882054,2388820.398616776,2388820.398645476,2388820.398645666,2388820.398645802,2388820.401039918,2388820.401529611,,,2388820.407331689,2388820.408770796,
resnet101,layer1,2388820.396800244,2388820.446379476,2388820.398784569,2388820.406858109,2388820.406858467,2388820.406858737,2388820.406941517,2388820.422559255,,,2388820.422721348,2388820.44634571,
resnet101,layer2,2388820.396802076,2388820.476707338,2388820.406983946,2388820.428381251,2388820.428381555,2388820.428381751,2388820.428456296,2388820.451884231,,,2388820.451925332,2388820.476660212,
resnet101,layer3,2388820.396804148,2388820.888534791,2388820.428493386,2388820.619957672,2388820.61995799,2388820.619958195,2388820.62011889,2388820.762385817,,,2388820.762446429,2388820.88844393,
resnet101,layer4,2388820.396806174,2388820.908459506,2388820.620166169,2388820.774684748,2388820.774685018,2388820.774685223,2388820.774810138,2388820.80985026,,,2388820.8884796,2388820.908410646,
resnet101,avgpool,2388820.396808631,2388820.908766316,2388820.774852946,2388820.774879208,2388820.77487942,2388820.774879566,2388820.81287001,2388820.813313115,,,2388820.908428956,2388820.908737356,
resnet101,fc,2388820.396810785,2388820.909293068,2388820.774985014,2388820.797805963,2388820.797806243,2388820.797806843,2388820.813326045,2388820.816729881,,,2388820.908747625,2388820.909274786,
resnet152,conv1,2388821.296092259,2388821.303916259,2388821.296329528,2388821.296881273,2388821.296881782,2388821.296882305,2388821.297071982,2388821.298287694,,,2388821.298331046,2388821.303484769,
resnet152,bn1,2388821.296106589,2388821.305854919,2388821.296991503,2388821.29794103,2388821.297941237,2388821.297941507,2388821.298585606,2388821.30008884,,,2388821.303520452,2388821.305794229,
resnet152,relu,2388821.296110117,2388821.306502176,2388821.29808248,2388821.298102968,2388821.298103201,2388821.298103363,2388821.300358513,2388821.300575656,,,2388821.305812819,2388821.306458333,
resnet152,maxpool,2388821.296113086,2388821.308225266,2388821.298219822,2388821.298250548,2388821.298250713,2388821.298250896,2388821.300585687,2388821.300729334,,,2388821.306471876,2388821.308042687,
resnet152,layer1,2388821.296115724,2388821.334861604,2388821.298508319,2388821.306907213,2388821.306907652,2388821.306908039,2388821.307056431,2388821.316412723,,,2388821.316458882,2388821.334831071,
resnet152,layer2,2388821.296118242,2388821.401410123,2388821.307098487,2388821.33899956,2388821.338999831,2388821.339000035,2388821.339082623,2388821.361069237,,,2388821.36111013,2388821.401363268,
resnet152,layer3,2388821.296120827,2388822.089064909,2388821.339117728,2388821.625821329,2388821.625821693,2388821.625821935,2388821.625973041,2388821.892460242,,,2388821.892523611,2388822.088945398,
resnet152,layer4,2388821.29612324,2388822.110884069,2388821.626085396,2388821.725713846,2388821.725714455,2388821.725714723,2388821.893725195,2388821.931987521,,,2388822.088988721,2388822.11075212,
resnet152,avgpool,2388821.296125965,2388822.11127782,2388821.725911079,2388821.725931519,2388821.725931719,2388821.725931895,2388821.932233173,2388821.932502447,,,2388822.110792075,2388822.111219014,
resnet152,fc,2388821.296128839,2388822.111905583,2388821.725999996,2388821.739338588,2388821.739338751,2388821.73933899,2388821.932513945,2388821.93689181,,,2388822.111239946,2388822.111869102,
resnet50,conv1,2388822.845240486,2388822.855233413,2388822.845596193,2388822.846204818,2388822.846205396,2388822.846205908,2388822.84633931,2388822.847849986,,,2388822.847876066,2388822.853778338,
