model_name,layer_name,submit_time_ts,end_time_ts,structure_start_ts,structure_end_ts,init_weight_start_ts,init_weight_end_ts,weight_start_ts,weight_end_ts,weight_preload_start_ts,weight_preload_end_ts,compute_start_ts,compute_end_ts,
resnet50,conv1,2386775.863373847,2386775.874332166,2386775.863692086,2386775.864453008,2386775.864453372,2386775.864576211,2386775.864667169,2386775.86618499,,,2386775.866228662,2386775.874225968,
resnet50,bn1,2386775.863402097,2386775.875814757,2386775.864717396,2386775.86579618,2386775.865796561,2386775.865819695,2386775.866413937,2386775.868187921,,,2386775.874250884,2386775.875706899,
resnet50,relu,2386775.863407631,2386775.876551889,2386775.865895287,2386775.865918691,2386775.865918911,2386775.865923235,2386775.868227955,2386775.868579344,,,2386775.875720744,2386775.876515753,
resnet50,maxpool,2386775.863415795,2386775.877551697,2386775.86611384,2386775.866143999,2386775.866144174,2386775.866147611,2386775.868590805,2386775.868744032,,,2386775.876530091,2386775.877486553,
resnet50,layer1,2386775.863419821,2386775.902450065,2386775.866343451,2386775.873612893,2386775.873613527,2386775.876749163,2386775.876859466,2386775.885033851,,,2386775.885056344,2386775.902424671,
resnet50,layer2,2386775.863424049,2386775.936959015,2386775.876901569,2386775.895442432,2386775.895442954,2386775.906062137,2386775.90612942,2386775.917261103,,,2386775.917291098,2386775.936936817,
resnet50,layer3,2386775.86342777,2386776.105490362,2386775.90616862,2386775.962875218,2386775.962875655,2386776.006555816,2386776.006652661,2386776.065433234,,,2386776.065491945,2386776.105414296,
resnet50,layer4,2386775.863435431,2386776.29995177,2386776.006739842,2386776.11423289,2386776.114233346,2386776.202029668,2386776.202173791,2386776.267363957,,,2386776.267421483,2386776.29990367,
resnet50,avgpool,2386775.863443198,2386776.300441732,2386776.20226447,2386776.202298063,2386776.202298261,2386776.202304279,2386776.26777218,2386776.268318209,,,2386776.299922106,2386776.300413251,
resnet50,fc,2386775.863446644,2386776.301111419,2386776.202459134,2386776.215582206,2386776.215582365,2386776.227420312,2386776.268344213,2386776.273660012,,,2386776.300423084,2386776.301093667,
resnet101,conv1,2386776.453848889,2386776.461509884,2386776.454104564,2386776.454527054,2386776.454527407,2386776.454693094,2386776.454850999,2386776.456236069,,,2386776.456264476,2386776.461444802,
resnet101,bn1,2386776.453862615,2386776.463942601,2386776.454770589,2386776.455208669,2386776.455209107,2386776.455248668,2386776.456358605,2386776.458203947,,,2386776.461469975,2386776.463881483,
resnet101,relu,2386776.453866208,2386776.464671518,2386776.455313137,2386776.455335247,2386776.455335437,2386776.455338968,2386776.458261673,2386776.458782322,,,2386776.46390022,2386776.464631327,
resnet101,maxpool,2386776.453869196,2386776.466020819,2386776.455457113,2386776.455487146,2386776.455487301,2386776.455490493,2386776.458795603,2386776.459173567,,,2386776.46464611,2386776.465996562,
resnet101,layer1,2386776.453871653,2386776.494169849,2386776.455734305,2386776.463711453,2386776.463712064,2386776.466160171,2386776.466240779,2386776.477472406,,,2386776.477512228,2386776.494099822,
resnet101,layer2,2386776.453874171,2386776.529672524,2386776.466310857,2386776.482473369,2386776.48247373,2386776.492988123,2386776.493068152,2386776.510031611,,,2386776.510078203,2386776.52960125,
resnet101,layer3,2386776.453876665,2386777.125429354,2386776.493110501,2386776.678203777,2386776.6782042,2386776.840182342,2386776.840360679,2386776.996125249,,,2386776.996192986,2386777.125330859,
resnet101,layer4,2386776.453879184,2386777.144640605,2386776.840442046,2386776.941274621,2386776.941274879,2386777.042331402,2386777.042635849,2386777.08640504,,,2386777.125366921,2386777.144577538,
resnet101,avgpool,2386776.453881714,2386777.144963219,2386777.042749777,2386777.042835142,2386777.042835371,2386777.042843601,2386777.086618393,2386777.087139759,,,2386777.144598259,2386777.144922263,
resnet101,fc,2386776.453884205,2386777.145517012,2386777.04306417,2386777.057719711,2386777.057719889,2386777.070022812,2386777.087162209,2386777.091618992,,,2386777.144935793,2386777.145482852,
resnet152,conv1,2386777.559276279,2386777.566662262,2386777.559502992,2386777.560136569,2386777.560136956,2386777.56024684,2386777.56031325,2386777.561306582,,,2386777.561395179,2386777.566408261,
resnet152,bn1,2386777.559285561,2386777.567621226,2386777.560351428,2386777.56064617,2386777.560646414,2386777.560667408,2386777.561570983,2386777.562613477,,,2386777.566429484,2386777.567528956,
resnet152,relu,2386777.559288295,2386777.567969734,2386777.561004474,2386777.561027622,2386777.561027872,2386777.561031659,2386777.562701198,2386777.562992991,,,2386777.567542705,2386777.567925666,
resnet152,maxpool,2386777.559290818,2386777.569006342,2386777.561132247,2386777.56116589,2386777.561166067,2386777.561169726,2386777.563002151,2386777.563138378,,,2386777.567934234,2386777.568992039,
resnet152,layer1,2386777.559292866,2386777.597430507,2386777.561325577,2386777.567862565,2386777.567862849,2386777.570434272,2386777.570497641,2386777.58178477,,,2386777.581854916,2386777.597371154,
resnet152,layer2,2386777.559294925,2386777.682337389,2386777.570528387,2386777.599226456,2386777.599226699,2386777.615301894,2386777.615361985,2386777.640206449,,,2386777.640245528,2386777.682281938,
resnet152,layer3,2386777.559297301,2386778.605756126,2386777.615408497,2386777.901614704,2386777.901615104,2386778.153598232,2386778.153746085,2386778.413108894,,,2386778.413164341,2386778.60567955,
resnet152,layer4,2386777.559299513,2386778.626134967,2386778.153827209,2386778.254322829,2386778.254323159,2386778.342678658,2386778.414224537,2386778.446143608,,,2386778.605704341,2386778.626071729,
resnet152,avgpool,2386777.559301557,2386778.626419692,2386778.342877304,2386778.342910836,2386778.342911005,2386778.34291511,2386778.446299613,2386778.446781158,,,2386778.626092356,2386778.626392101,
resnet152,fc,2386777.559304107,2386778.62688284,2386778.342981838,2386778.356223539,2386778.356223699,2386778.368036438,2386778.446796701,2386778.450400766,,,2386778.626401851,2386778.626863442,
resnet50,conv1,2386779.337200528,2386779.344289354,2386779.337435179,2386779.337795592,2386779.337795891,2386779.337915911,2386779.338013595,2386779.338974802,,,2386779.339089062,2386779.344239577,
resnet50,bn1,2386779.337211862,2386779.353155912,2386779.338050481,2386779.338817894,2386779.338818126,2386779.338839196,2386779.339055607,2386779.340527347,,,2386779.344260247,2386779.35310461,
resnet50,relu,2386779.337215087,2386779.354028425,2386779.339003813,2386779.339026855,2386779.339027082,2386779.339031102,2386779.340690059,2386779.341125304,,,2386779.353125357,2386779.353990775,
resnet50,maxpool,2386779.337217977,2386779.355504761,2386779.339443392,2386779.33947521,2386779.339475435,2386779.339478366,2386779.341134994,2386779.34133633,,,2386779.354004193,2386779.355484478,
resnet50,layer1,2386779.337220735,2386779.381744534,2386779.33974628,2386779.348887469,2386779.348887865,2386779.351799879,2386779.351966169,2386779.366141698,,,2386779.366194935,2386779.381570496,
resnet50,layer2,2386779.337223491,2386779.416799451,2386779.351873073,2386779.370340438,2386779.3703408,2386779.381246097,2386779.381372451,2386779.398936906,,,2386779.398969452,2386779.416764758,
resnet50,layer3,2386779.337226125,2386779.555212827,2386779.381491157,2386779.441034046,2386779.441034333,2386779.485652846,2386779.485768494,2386779.523978712,,,2386779.524044172,2386779.555155472,
resnet50,layer4,2386779.337228721,2386779.761302647,2386779.485821023,2386779.605292446,2386779.605292806,2386779.693890628,2386779.694074643,2386779.738152267,,,2386779.738204465,2386779.7612495,
