model_name,layer_name,submit_time_ts,end_time_ts,structure_start_ts,structure_end_ts,init_weight_start_ts,init_weight_end_ts,weight_start_ts,weight_end_ts,weight_preload_start_ts,weight_preload_end_ts,compute_start_ts,compute_end_ts,
resnet50,conv1,2392181.745499085,2392181.756506579,2392181.745824407,2392181.747075565,2392181.74707603,2392181.747077009,2392181.747206964,2392181.748033386,,,2392181.748065674,2392181.756173543,
resnet50,bn1,2392181.745519373,2392181.75990301,2392181.747252463,2392181.747970217,2392181.747970645,2392181.747971066,2392181.74822318,2392181.748430098,2392181.744441809,2392181.747135927,2392181.756197943,2392181.759412462,
resnet50,relu,2392181.745524525,2392181.761084408,2392181.74853197,2392181.748570375,2392181.748570784,2392181.748571074,2392181.748681893,2392181.749184969,,,2392181.759431969,2392181.760732153,
resnet50,maxpool,2392181.745530356,2392181.762802001,2392181.748720957,2392181.748766337,2392181.748766714,2392181.748766971,2392181.749198216,2392181.749700038,,,2392181.760748506,2392181.762765809,
resnet50,layer1,2392181.745534684,2392181.787105776,2392181.748866853,2392181.761740542,2392181.761741004,2392181.761741375,2392181.762400069,2392181.765565823,2392181.750808502,2392181.762374743,2392181.765610752,2392181.786964899,
resnet50,layer2,2392181.745538424,2392181.810341856,2392181.762270229,2392181.782254982,2392181.782255476,2392181.782255922,2392181.782361191,2392181.784915416,2392181.76690905,2392181.781964445,2392181.786986966,2392181.810297012,
resnet50,layer3,2392181.745542185,2392181.887429164,2392181.782523911,2392181.840499992,2392181.840500648,2392181.84050106,2392181.840631164,2392181.84587107,2392181.786168931,2392181.81457821,2392181.845918771,2392181.887367464,
resnet50,layer4,2392181.745550045,2392181.987140665,2392181.840933741,2392181.950601296,2392181.950601639,2392181.950602192,2392181.950741392,2392181.957685786,2392181.849547754,2392181.898401911,2392181.957746257,2392181.987038499,
resnet50,avgpool,2392181.74555784,2392181.987638327,2392181.95091129,2392181.950940932,2392181.950941152,2392181.950941417,2392181.964746895,2392181.965304368,,,2392181.987076832,2392181.987580937,
resnet50,fc,2392181.745561389,2392181.988411278,2392181.951034205,2392181.973192387,2392181.973192593,2392181.97319335,2392181.975933285,2392181.976709345,2392181.966411499,2392181.975908065,2392181.987602958,2392181.988377892,
resnet101,conv1,2392182.157175528,2392182.164416976,2392182.157383375,2392182.15762775,2392182.157628023,2392182.157628206,2392182.157705362,2392182.158806958,,,2392182.158941054,2392182.163986146,
resnet101,bn1,2392182.157189592,2392182.167685248,2392182.157744917,2392182.158003295,2392182.158003522,2392182.158003677,2392182.158909815,2392182.16028893,,,2392182.164043991,2392182.167537182,
resnet101,relu,2392182.15719307,2392182.169809158,2392182.158313903,2392182.158347723,2392182.158347962,2392182.158348166,2392182.160373031,2392182.160862657,,,2392182.167549742,2392182.169388902,
resnet101,maxpool,2392182.15719586,2392182.172046362,2392182.158514165,2392182.158547505,2392182.15854769,2392182.158547843,2392182.16087217,2392182.161087548,,,2392182.169398888,2392182.172026121,
resnet101,layer1,2392182.157198475,2392182.197184032,2392182.158716071,2392182.172241711,2392182.172241993,2392182.172242178,2392182.172324538,2392182.176204916,2392182.162188648,2392182.17194766,2392182.176230453,2392182.197137961,
resnet101,layer2,2392182.157201008,2392182.219569944,2392182.172456236,2392182.189849943,2392182.189850171,2392182.189850337,2392182.19393806,2392182.19797737,2392182.177432928,2392182.193925497,2392182.198003056,2392182.219534321,
resnet101,layer3,2392182.157203564,2392182.547052801,2392182.189991932,2392182.381056371,2392182.381056588,2392182.381056777,2392182.381174955,2392182.418892854,2392182.199219263,2392182.29750192,2392182.418975875,2392182.546958238,
resnet101,layer4,2392182.157206441,2392182.565287692,2392182.381930684,2392182.505019766,2392182.505020108,2392182.505020747,2392182.505175521,2392182.517761167,2392182.421746098,2392182.461620312,2392182.546992698,2392182.565238118,
resnet101,avgpool,2392182.157209081,2392182.565547806,2392182.505710696,2392182.505734072,2392182.505734297,2392182.50573447,2392182.518003685,2392182.518777941,,,2392182.565254739,2392182.565520421,
resnet101,fc,2392182.157211589,2392182.566062592,2392182.505794458,2392182.524694438,2392182.524694646,2392182.524694875,2392182.52477812,2392182.525721812,2392182.519898321,2392182.524650435,2392182.565529977,2392182.566043327,
resnet152,conv1,2392182.971361208,2392182.979355596,2392182.971549742,2392182.971853169,2392182.971853362,2392182.971853576,2392182.971942008,2392182.972767826,,,2392182.972786181,2392182.979072148,
resnet152,bn1,2392182.971371432,2392182.981891718,2392182.972088178,2392182.972934779,2392182.972935122,2392182.9729354,2392182.973073551,2392182.974884493,,,2392182.979115357,2392182.981545123,
resnet152,relu,2392182.971374161,2392182.983609161,2392182.973220459,2392182.973245749,2392182.973245895,2392182.97324607,2392182.974964162,2392182.975395652,,,2392182.981560054,2392182.983482478,
resnet152,maxpool,2392182.971376507,2392182.986274096,2392182.973350435,2392182.9734328,2392182.973433267,2392182.973433764,2392182.975411055,2392182.976661097,,,2392182.983495213,2392182.985872235,
