model_name,layer_name,submit_time_ts,end_time_ts,structure_start_ts,structure_end_ts,init_weight_start_ts,init_weight_end_ts,weight_start_ts,weight_end_ts,weight_preload_start_ts,weight_preload_end_ts,compute_start_ts,compute_end_ts,
resnet50,conv1,2390365.405418158,2390365.418893645,2390365.40589988,2390365.406966037,2390365.406966455,2390365.407121751,2390365.407224863,2390365.40812823,,,2390365.408153501,2390365.41870594,
resnet50,bn1,2390365.405443449,2390365.421559938,2390365.407269611,2390365.408303416,2390365.408303893,2390365.408332597,2390365.408653057,2390365.40877824,2390365.404581909,2390365.407027318,2390365.418728503,2390365.420952503,
resnet50,relu,2390365.405448895,2390365.422228545,2390365.408829822,2390365.408859922,2390365.408860288,2390365.408866635,2390365.408938939,2390365.409354543,,,2390365.420966648,2390365.422192036,
resnet50,maxpool,2390365.405454955,2390365.42334311,2390365.408975594,2390365.409010883,2390365.409011165,2390365.409014985,2390365.409367345,2390365.409589106,,,2390365.422204896,2390365.423095857,
resnet50,layer1,2390365.405459439,2390365.445875674,2390365.409101482,2390365.419041184,2390365.419041691,2390365.422988946,2390365.423117955,2390365.426306231,2390365.410666414,2390365.421535364,2390365.426338187,2390365.445847659,
resnet50,layer2,2390365.405463181,2390365.478028884,2390365.423261606,2390365.443024613,2390365.443025128,2390365.45283257,2390365.452904582,2390365.455968664,2390365.427656661,2390365.442871791,2390365.455993285,2390365.477983549,
resnet50,layer3,2390365.405467123,2390365.610220942,2390365.453052925,2390365.513689941,2390365.513690418,2390365.557451296,2390365.557552904,2390365.565610114,2390365.457226116,2390365.491155369,2390365.565664972,2390365.610050376,
resnet50,layer4,2390365.405474848,2390365.794611027,2390365.55781141,2390365.668202237,2390365.66820266,2390365.755902199,2390365.756044535,2390365.764449203,2390365.570452191,2390365.648622497,2390365.764504428,2390365.794546746,
resnet50,avgpool,2390365.405483181,2390365.795034329,2390365.756345073,2390365.756377587,2390365.756377784,2390365.756383629,2390365.772269217,2390365.773229156,,,2390365.794569707,2390365.795013015,
resnet50,fc,2390365.405486621,2390365.797799994,2390365.756436677,2390365.78019079,2390365.780191118,2390365.796280811,2390365.796344277,2390365.79707248,2390365.774352714,2390365.787592304,2390365.797090575,2390365.797777503,
resnet101,conv1,2390365.981400169,2390365.992588033,2390365.981643613,2390365.982197153,2390365.982197848,2390365.982430135,2390365.983640405,2390365.984691115,,,2390365.984716596,2390365.99226254,
resnet101,bn1,2390365.981411738,2390365.995292042,2390365.982531412,2390365.983710199,2390365.98371051,2390365.983739362,2390365.984880162,2390365.985024567,2390365.982253522,2390365.98362496,2390365.99227867,2390365.994447461,
resnet101,relu,2390365.981415242,2390365.996033736,2390365.983824357,2390365.983847537,2390365.983847779,2390365.983851485,2390365.985236644,2390365.985655294,,,2390365.994459662,2390365.995995545,
