model_name,layer_name,submit_time_ts,end_time_ts,structure_start_ts,structure_end_ts,init_weight_start_ts,init_weight_end_ts,weight_start_ts,weight_end_ts,weight_preload_start_ts,weight_preload_end_ts,compute_start_ts,compute_end_ts,
resnet50,conv1,2661506.500312519,2661506.505394336,2661506.500316709,2661506.501029946,2661506.501030278,2661506.501176072,2661506.501184334,2661506.502268536,,,2661506.502270006,2661506.505392986,
resnet50,bn1,2661506.500312519,2661506.507773485,2661506.505418464,2661506.505838994,2661506.505839395,2661506.50586699,2661506.505872968,2661506.506809519,,,2661506.506810812,2661506.507772607,
resnet50,relu,2661506.500312519,2661506.508322151,2661506.507780368,2661506.507806737,2661506.507806935,2661506.507814638,2661506.507819355,2661506.508027356,,,2661506.508028456,2661506.508321277,
resnet50,maxpool,2661506.500312519,2661506.509825879,2661506.508328251,2661506.508372501,2661506.508372795,2661506.508379835,2661506.508384473,2661506.508579062,,,2661506.508580125,2661506.509825001,
resnet50,layer1,2661506.500312519,2661506.534468804,2661506.509835352,2661506.513418458,2661506.513418855,2661506.515090894,2661506.515096267,2661506.520723761,,,2661506.520725066,2661506.53446771,
resnet50,layer2,2661506.500312519,2661506.577001975,2661506.534477193,2661506.544457275,2661506.544457657,2661506.55277861,2661506.5527848,2661506.562869337,,,2661506.562870706,2661506.577000915,
resnet50,layer3,2661506.500312519,2661506.716765385,2661506.577012269,2661506.623169168,2661506.623169531,2661506.66668777,2661506.666694912,2661506.696054723,,,2661506.696056271,2661506.716763767,
resnet50,layer4,2661506.500312519,2661506.965683027,2661506.716786225,2661506.812032823,2661506.812033287,2661506.900132011,2661506.900146258,2661506.948747625,,,2661506.948749775,2661506.96568204,
resnet50,avgpool,2661506.500312519,2661506.969743586,2661506.965697138,2661506.965738504,2661506.965738818,2661506.965750245,2661506.965755846,2661506.969375949,,,2661506.969377713,2661506.969742784,
resnet50,fc,2661506.500312519,2661506.995666959,2661506.969748977,2661506.980068893,2661506.980069165,2661506.991768095,2661506.991772947,2661506.995050966,,,2661506.995052168,2661506.995666269,
resnet101,conv1,2661507.158764306,2661507.160410158,2661507.158766327,2661507.158990628,2661507.158990834,2661507.159068428,2661507.159072372,2661507.159579843,,,2661507.159580893,2661507.16040927,
resnet101,bn1,2661507.158764306,2661507.161645023,2661507.160418037,2661507.160600035,2661507.160600389,2661507.160622173,2661507.160626803,2661507.161292808,,,2661507.161293802,2661507.161644357,
